Categoría: Alimentación y bebidas

Semana,pistachos: (Chile),nueces: (Chile),chocolate dubai: (Chile)
2022-11-20,0,15,0
2022-11-27,5,20,0
2022-12-04,5,18,0
2022-12-11,6,23,0
2022-12-18,5,39,0
2022-12-25,5,24,0
2023-01-01,6,15,0
2023-01-08,5,20,0
2023-01-15,5,23,0
2023-01-22,4,15,0
2023-01-29,0,18,0
2023-02-05,0,18,0
2023-02-12,0,17,0
2023-02-19,4,16,0
2023-02-26,4,18,0
2023-03-05,5,18,0
2023-03-12,6,21,0
2023-03-19,7,16,0
2023-03-26,4,23,0
2023-04-02,4,22,0
2023-04-09,5,20,0
2023-04-16,7,22,0
2023-04-23,0,25,0
2023-04-30,8,20,0
2023-05-07,3,31,0
2023-05-14,4,25,0
2023-05-21,4,24,0
2023-05-28,5,19,0
2023-06-04,4,29,0
2023-06-11,6,26,0
2023-06-18,5,28,0
2023-06-25,7,26,0
2023-07-02,0,22,0
2023-07-09,6,23,0
2023-07-16,6,21,0
2023-07-23,4,28,0
2023-07-30,4,23,0
2023-08-06,8,24,0
2023-08-13,7,26,0
2023-08-20,4,22,0
2023-08-27,0,23,0
2023-09-03,4,19,0
2023-09-10,6,24,0
2023-09-17,6,16,0
2023-09-24,5,23,0
2023-10-01,0,19,0
2023-10-08,7,18,0
2023-10-15,7,18,0
2023-10-22,6,24,0
2023-10-29,6,16,0
2023-11-05,4,20,0
2023-11-12,5,25,0
2023-11-19,0,23,0
2023-11-26,0,19,0
2023-12-03,0,20,0
2023-12-10,5,24,0
2023-12-17,5,32,0
2023-12-24,7,26,0
2023-12-31,6,17,0
2024-01-07,4,17,0
2024-01-14,6,20,0
2024-01-21,0,11,0
2024-01-28,5,16,0
2024-02-04,0,11,0
2024-02-11,6,18,0
2024-02-18,5,13,0
2024-02-25,0,15,0
2024-03-03,5,10,0
2024-03-10,5,15,0
2024-03-17,5,17,0
2024-03-24,5,11,0
2024-03-31,5,17,0
2024-04-07,0,17,0
2024-04-14,5,20,0
2024-04-21,0,23,0
2024-04-28,7,19,0
2024-05-05,5,21,0
2024-05-12,6,19,0
2024-05-19,8,18,0
2024-05-26,6,18,0
2024-06-02,6,15,0
2024-06-09,8,16,0
2024-06-16,6,19,0
2024-06-23,5,18,0
2024-06-30,10,17,0
2024-07-07,8,17,0
2024-07-14,6,22,0
2024-07-21,6,20,0
2024-07-28,7,19,0
2024-08-04,7,20,0
2024-08-11,7,13,0
2024-08-18,6,18,0
2024-08-25,9,15,0
2024-09-01,7,13,0
2024-09-08,8,20,0
2024-09-15,0,12,0
2024-09-22,8,15,0
2024-09-29,6,16,0
2024-10-06,4,15,0
2024-10-13,6,15,0
2024-10-20,5,17,0
2024-10-27,5,17,0
2024-11-03,0,13,0
2024-11-10,6,18,0
2024-11-17,5,21,0
2024-11-24,5,20,0
2024-12-01,5,19,0
2024-12-08,6,18,5
2024-12-15,0,19,0
2024-12-22,0,31,0
2024-12-29,6,20,0
2025-01-05,5,11,0
2025-01-12,0,11,0
2025-01-19,0,15,6
2025-01-26,9,16,9
2025-02-02,6,12,20
2025-02-09,9,12,26
2025-02-16,7,13,20
2025-02-23,0,10,22
2025-03-02,10,13,23
2025-03-09,8,11,21
2025-03-16,8,18,28
2025-03-23,13,15,32
2025-03-30,9,18,36
2025-04-06,5,18,34
2025-04-13,9,19,45
2025-04-20,5,21,41
2025-04-27,5,16,33
2025-05-04,5,16,46
2025-05-11,7,19,25
2025-05-18,7,18,34
2025-05-25,6,19,34
2025-06-01,6,15,31
2025-06-08,8,22,38
2025-06-15,9,19,65
2025-06-22,8,16,100
2025-06-29,13,14,93
2025-07-06,9,17,87
2025-07-13,9,21,87
2025-07-20,5,20,84
2025-07-27,5,20,66
2025-08-03,7,16,62
2025-08-10,7,19,46
2025-08-17,9,18,39
2025-08-24,10,22,45
2025-08-31,5,18,42
2025-09-07,5,12,35
2025-09-14,5,16,32
2025-09-21,6,16,25
